訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
中華數位人資應用管理協會,新竹縣,159168,新多益聽力與閱讀能力提升班,54,20,8910,20240902,20241104
中華數位人資應用管理協會,新竹縣,159169,勞動法令與就業服務訓練班,54,20,8910,20240907,20241026
社團法人中華民國汽車工程學會,新北市,159172,二手車車況檢查技能實務訓練班,28,25,5530,20240825,20240915
中華民國指甲彩繪美容職業工會聯合會,桃園市,159173,凝膠彩繪美指及混搭異素材創作設計班,84,25,16000,20240825,20241117
台北市商品包膜人員職業工會,臺北市,159175,皮革皮雕製作實務班,90,25,20000,20240907,20241228
宜蘭縣玩具暨兒童用品業職業工會,宜蘭縣,159179,童玩烙畫工藝創意實作班,47,20,11980,20240818,20241006
中華民國全競利促進協會,新竹縣,159184,ChatGPT 暨 Excel VBA 網路爬蟲應用班,54,20,8910,20240824,20241019
中華民國全競利促進協會,新竹縣,159185,投資學實務應用班,54,28,8910,20240824,20241012
中華民國全競利促進協會,新竹縣,159186,Excel導入ChatGPT自動化數據分析實戰班,47,20,8880,20240903,20241031
財團法人中華民國貿易教育基金會,臺北市,159188,跨境電商行銷人才培訓班,30,22,5690,20240828,20240927
台北市傳統整復推拿與民俗調理職業工會,臺北市,159194,民俗調理業傳統整復推拿調理班,112,24,16840,20240904,20241202
淡江大學學校財團法人淡江大學,臺北市,159195,就業服務勞動法令與專業實務學士學分班,54,36,8910,20240901,20241117
苗栗縣工業會,苗栗縣,159198,金屬工藝創意媒材設計製作班,36,19,9180,20240901,20241006
社團法人中華民國職業安全暨勞動力職能學術研究發展協會,金門縣,159204,養生經絡調理與牛角應用實務班,45,28,8920,20240907,20240929
社團法人中國餐飲學會,臺北市,159206,多元特色料理班,64,30,8600,20240907,20241026
社團法人中華巨倫人才培訓協會,臺北市,159210,日語會話初級班,47,18,8910,20240821,20241204
財團法人台灣建築中心,新北市,159212,淨零建築能效BERS導入實務班,18,30,3410,20240827,20240912
社團法人中華巨倫人才培訓協會,臺北市,159213,日語會話入門班,47,18,8910,20240824,20241012
台北市園藝花卉業職業工會,臺北市,159214,自然花藝設計應用班,47,24,11960,20240807,20240930
社團法人基隆市職業訓練發展協會,基隆市,159215,手機網紅短影音經營實務班,18,20,3400,20240828,20241002
社團法人中華民國珠寶金飾研究會,臺北市,159219,金銀珠寶首飾加工班,49,30,10910,20240901,20241013
社團法人中華專業講師協會,臺北市,159220,聲音表達與表演訓練班,30,25,6230,20240824,20240921
宜蘭縣玩具暨兒童用品業職業工會,宜蘭縣,159222,兒童用品客製化設計製作班,47,20,11850,20240904,20241023
社團法人中華專業講師協會,臺北市,159224,魅力台風與聲音表達影響力訓練班,35,22,6580,20240907,20241005
國立臺北商業大學,臺北市,159225,創新經濟AI行銷數據分析與資料視覺化班,48,32,7920,20240818,20241006
社團法人中華勞動法推廣協會,臺北市,159227,勞資爭議相關案例解析班,54,23,8690,20240824,20241019
財團法人自強工業科學基金會,臺北市,159228,塑膠射出科學成形與穩健成形基礎班,30,20,5670,20240907,20241012
社團法人台北市不動產教育發展協會,臺北市,159229,不動產經紀人C班,116,25,19100,20240825,20241113
財團法人自強工業科學基金會,臺北市,159230,初級資訊安全人員訓練班,30,20,5670,20240906,20241108
社團法人台北市不動產教育發展協會,臺北市,159231,不動產經紀人進階班,45,25,8000,20240903,20241107
